Kanton;Datum und Vorlage;Stimmberechtigte;Abgegebene Stimmen;Beteiligung in %;Gültige Stimmzettel;Ja;Nein;Ja in %
Schweiz;24.09.2017 Reform der Altersvorsorge;5372748;2545897;47.4;2507155;1186203;1320952;47.3
Schweiz;24.09.2017 Zusatzfinanzierung der AHV;5372748;2546386;47.4;2511951;1254795;1257156;50.0
Schweiz;24.09.2017 Ernährungssicherheit;5372748;2531209;47.1;2468099;1943180;524919;78.7
Schweiz;21.05.2017 Energiegesetz;5356575;2297296;42.9;2271316;1322263;949053;58.2
Schweiz;12.02.2017 Unternehmenssteuerreform III;5344186;2490785;46.6;2417473;989311;1428162;40.9
Schweiz;12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr;5344186;2491320;46.6;2427529;1503746;923783;61.9
Schweiz;12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration;5344186;2503450;46.8;2482471;1499627;982844;60.4
Schweiz;27.11.2016 Atomausstiegsinitiative;5336711;2421998;45.4;2400269;1099409;1300860;45.8
Schweiz;25.09.2016 Nachrichtendienstgesetz;5329183;2288549;42.9;2227133;1459068;768065;65.5
Schweiz;25.09.2016 Initiative «AHVplus: für eine starke AHV»;5329183;2298492;43.1;2269407;921375;1348032;40.6
Schweiz;25.09.2016 Initiative «Grüne Wirtschaft»;5329183;2291470;43.0;2250043;819770;1430273;36.4
Schweiz;05.06.2016 Asylgesetz;5313287;2486032;46.8;2420683;1616597;804086;66.8
Schweiz;05.06.2016 Fortpflanzungsmedizingesetz;5313287;2480345;46.7;2387735;1490417;897318;62.4
Schweiz;05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»;5313287;2485384;46.8;2429635;709974;1719661;29.2
Schweiz;05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»;5313287;2494848;47.0;2466188;568660;1897528;23.1
Schweiz;05.06.2016 Initiative «Pro Service public»;5313287;2485007;46.8;2422010;784303;1637707;32.4
Schweiz;28.02.2016 Sanierung Gotthard-Strassentunnel;5302873;3365568;63.5;3304249;1883859;1420390;57.0
Schweiz;28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln;5302873;3336178;62.9;3213723;1287786;1925937;40.1
Schweiz;28.02.2016 Durchsetzungsinitiative;5302873;3379567;63.7;3342063;1375098;1966965;41.1
Schweiz;28.02.2016 Initiative gegen die Heiratsstrafe;5302873;3354019;63.2;3273376;1609152;1664224;49.2
Schweiz;14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe);5265120;2297963;43.6;2253395;1128522;1124873;50.1
Schweiz;14.06.2015 Initiative «Millionen-Erbschaften besteuern»;5265120;2301320;43.7;2271833;657851;1613982;29.0
Schweiz;14.06.2015 Stipendieninitiative;5265120;2287555;43.4;2222195;610284;1611911;27.5
Schweiz;14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich;5265120;2290993;43.5;2224478;1377613;846865;61.9
Schweiz;08.03.2015 Initiative «Energie- statt Mehrwertsteuer»;5254965;2210121;42.1;2185731;175405;2010326;8.0
Schweiz;08.03.2015 Initiative «Steuerfreie Kinderzulagen»;5254965;2210891;42.1;2187904;537795;1650109;24.6
Schweiz;30.11.2014 Gold-Initiative;5247512;2613900;49.8;2554665;580528;1974137;22.7
Schweiz;30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»;5247512;2622700;50.0;2591553;671099;1920454;25.9
Schweiz;30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung;5247512;2618768;49.9;2581239;1053125;1528114;40.8
Schweiz;28.09.2014 Initiative «Für eine öffentliche Krankenkasse»;5240134;2472295;47.2;2445048;933012;1512036;38.2
Schweiz;28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»;5240134;2460809;47.0;2403390;684563;1718827;28.5
Schweiz;18.05.2014 Beschaffung des Kampfflugzeugs Gripen;5221880;2941136;56.3;2888487;1345726;1542761;46.6
Schweiz;18.05.2014 Mindestlohn-Initiative;5221880;2942915;56.4;2897763;687571;2210192;23.7
Schweiz;18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»;5221880;2933259;56.2;2864526;1819822;1044704;63.5
Schweiz;18.05.2014 Medizinische Grundversorgung;5221880;2915993;55.8;2817066;2480870;336196;88.1
Schweiz;09.02.2014 Initiative «Gegen Masseneinwanderung»;5211681;2948156;56.6;2908406;1463854;1444552;50.3
Schweiz;09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»;5211681;2940167;56.4;2892609;873060;2019549;30.2
Schweiz;09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur;5211681;2930777;56.2;2865054;1776878;1088176;62.0
Schweiz;24.11.2013 Nationalstrassenabgabegesetz (NSAG);5204062;2790051;53.6;2750116;1087368;1662748;39.5
Schweiz;24.11.2013 Familieninitiative;5204062;2788725;53.6;2744161;1139670;1604491;41.5
Schweiz;24.11.2013 Initiative «1:12 - für gerechte Löhne»;5204062;2791082;53.6;2751717;954787;1796930;34.7
Schweiz;22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops;5195333;2425079;46.7;2374036;1324528;1049508;55.8
Schweiz;22.09.2013 Epidemiengesetz;5195333;2424629;46.7;2361128;1416741;944387;60.0
