Kürzel,Kanton,Name,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %
CH,Schweiz,24.09.2017 Reform der Altersvorsorge,5372748,2545897,47,2507155,1186203,1320952,47
,,24.09.2017 Zusatzfinanzierung der AHV,5372748,2546386,47,2511951,1254795,1257156,50
,,24.09.2017 Ernährungssicherheit,5372748,2531209,47,2468099,1943180,524919,79
,,21.05.2017 Energiegesetz,5356575,2297296,43,2271316,1322263,949053,58
,,12.02.2017 Unternehmenssteuerreform III,5344186,2490785,47,2417473,989311,1428162,41
,,12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr,5344186,2491320,47,2427529,1503746,923783,62
,,12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration,5344186,2503450,47,2482471,1499627,982844,60
,,27.11.2016 Atomausstiegsinitiative,5336711,2421998,45,2400269,1099409,1300860,46
,,25.09.2016 Nachrichtendienstgesetz,5329183,2288549,43,2227133,1459068,768065,66
,,25.09.2016 Initiative «AHVplus: für eine starke AHV»,5329183,2298492,43,2269407,921375,1348032,41
,,25.09.2016 Initiative «Grüne Wirtschaft»,5329183,2291470,43,2250043,819770,1430273,36
,,05.06.2016 Asylgesetz,5313287,2486032,47,2420683,1616597,804086,67
,,05.06.2016 Fortpflanzungsmedizingesetz,5313287,2480345,47,2387735,1490417,897318,62
,,05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»,5313287,2485384,47,2429635,709974,1719661,29
,,05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»,5313287,2494848,47,2466188,568660,1897528,23
,,05.06.2016 Initiative «Pro Service public»,5313287,2485007,47,2422010,784303,1637707,32
,,28.02.2016 Sanierung Gotthard-Strassentunnel,5302873,3365568,64,3304249,1883859,1420390,57
,,28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln,5302873,3336178,63,3213723,1287786,1925937,40
,,28.02.2016 Durchsetzungsinitiative,5302873,3379567,64,3342063,1375098,1966965,41
,,28.02.2016 Initiative gegen die Heiratsstrafe,5302873,3354019,63,3273376,1609152,1664224,49
,,14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe),5265120,2297963,44,2253395,1128522,1124873,50
,,14.06.2015 Initiative «Millionen-Erbschaften besteuern»,5265120,2301320,44,2271833,657851,1613982,29
,,14.06.2015 Stipendieninitiative,5265120,2287555,43,2222195,610284,1611911,28
,,14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich,5265120,2290993,44,2224478,1377613,846865,62
,,08.03.2015 Initiative «Energie- statt Mehrwertsteuer»,5254965,2210121,42,2185731,175405,2010326,8
,,08.03.2015 Initiative «Steuerfreie Kinderzulagen»,5254965,2210891,42,2187904,537795,1650109,25
,,30.11.2014 Gold-Initiative,5247512,2613900,50,2554665,580528,1974137,23
,,30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»,5247512,2622700,50,2591553,671099,1920454,26
,,30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung,5247512,2618768,50,2581239,1053125,1528114,41
,,28.09.2014 Initiative «Für eine öffentliche Krankenkasse»,5240134,2472295,47,2445048,933012,1512036,38
,,28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,5240134,2460809,47,2403390,684563,1718827,29
,,18.05.2014 Beschaffung des Kampfflugzeugs Gripen,5221880,2941136,56,2888487,1345726,1542761,47
,,18.05.2014 Mindestlohn-Initiative,5221880,2942915,56,2897763,687571,2210192,24
,,18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,5221880,2933259,56,2864526,1819822,1044704,64
,,18.05.2014 Medizinische Grundversorgung,5221880,2915993,56,2817066,2480870,336196,88
,,09.02.2014 Initiative «Gegen Masseneinwanderung»,5211681,2948156,57,2908406,1463854,1444552,50
,,09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»,5211681,2940167,56,2892609,873060,2019549,30
,,09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur,5211681,2930777,56,2865054,1776878,1088176,62
,,24.11.2013 Nationalstrassenabgabegesetz (NSAG),5204062,2790051,54,2750116,1087368,1662748,40
,,24.11.2013 Familieninitiative,5204062,2788725,54,2744161,1139670,1604491,42
,,24.11.2013 Initiative «1:12 - für gerechte Löhne»,5204062,2791082,54,2751717,954787,1796930,35
,,22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops,5195333,2425079,47,2374036,1324528,1049508,56
,,22.09.2013 Epidemiengesetz,5195333,2424629,47,2361128,1416741,944387,60
,,22.09.2013 Aufhebung der Wehrpflicht,5195333,2436112,47,2407796,644985,1762811,27
,,09.06.2013 Asylgesetz,5184334,2044092,39,2005181,1573007,432174,78
,,09.06.2013 «Volkswahl des Bundesrates»,5184334,2048664,40,2030371,480291,1550080,24
,,03.03.2013 Raumplanungsgesetz,5174961,2406787,47,2348456,1476942,871514,63
,,03.03.2013 Initiative «gegen die Abzockerei»,5174961,2418825,47,2378159,1616184,761975,68
,,03.03.2013 Familienpolitik,5174961,2412095,47,2362482,1283951,1078531,54
,,25.11.2012 Tierseuchengesetz,5166973,1425830,28,1385704,946220,439484,68
,,23.09.2012 «Schutz vor Passivrauchen»,5160331,2209395,43,2179190,741205,1437985,34
,,23.09.2012 «Sicheres Wohnen im Alter»,5160331,2194727,43,2139511,1014016,1125495,47
,,23.09.2012 Jugendmusikförderung,5160331,2188758,42,2135276,1552045,583231,73
,,17.06.2012 Krankenversicherungsgesetz (Managed Care),5149475,1990232,39,1949529,466862,1482667,24
,,17.06.2012 Initiative «Staatsverträge vors Volk!»,5149475,1983704,39,1942832,480173,1462659,25
